10.12.2020 14:44:01.363 [Test worker] INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [edu.roadmaps.core.ApplicationTest], using SpringBootContextLoader
10.12.2020 14:44:01.368 [Test worker] INFO   o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [edu.roadmaps.core.ApplicationTest]: no resource found for suffixes {-context.xml, Context.groovy}.
10.12.2020 14:44:01.369 [Test worker] INFO   o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [edu.roadmaps.core.ApplicationTest]: ApplicationTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
10.12.2020 14:44:01.426 [Test worker] INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration edu.roadmaps.core.Application for test class edu.roadmaps.core.ApplicationTest
10.12.2020 14:44:01.485 [Test worker] INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
10.12.2020 14:44:01.493 [Test worker] INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1326bc7c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@68fbdfe, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3c6bf284, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1afa9bef, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3c990190, org.springframework.test.context.transaction.TransactionalTestExecutionListener@47023bb0, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@241e1e06, org.springframework.test.context.event.EventPublishingTestExecutionListener@6af5cc89, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1e14d5c6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@489db20f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1c277b34, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@58726dbd, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@60702990, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@45d8e25b]
10.12.2020 14:44:01.702 [Test worker] INFO   e.r.c.ApplicationTest - Starting ApplicationTest on Lil-Santos-Mac with PID 10360 (started by extize in /Users/extize/Documents/roadmaps-repos/core)
10.12.2020 14:44:01.702 [Test worker] INFO   e.r.c.ApplicationTest - The following profiles are active: test
10.12.2020 14:44:02.226 [Test worker] INFO   o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
10.12.2020 14:44:02.293 [Test worker] INFO   o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 61ms. Found 3 JPA repository interfaces.
10.12.2020 14:44:02.636 [Test worker] INFO   o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
